6,30
3,45
4,33
3,40
7,25
7,29
4,37
6,20
7,27
7,30
5,33
7,32
3,39
5,42
4,45
7,48
7,51
7,54
6,57
4,60
5,40
3,66
4,34
6,45
4,33
7,40
7,26
7,29
5,37
6,21
7,27
5,30
7,23
4,30
5,32
4,34
4,36
4,38
7,40
7,42
7,44
7,40
7,48
7,50
5,22
3,18
4,16
5,17
6,20
7,22
7,24
3,26
4,32
3,30
6,32
7,34
4,36
6,38
7,40
7,41
5,40
7,30
3,35
6,45
4,33
7,40
6,25
7,29
6,37
4,20
5,27
3,30
4,33
5,36
4,32
7,42
4,45
6,48
5,51
6,15
7,14
3,37
7,17
4,32
5,30
5,38
4,40
4,37
7,40
4,40
6,19
4,29
7,30
7,46
5,50
3,42
4,52
3,49
6,12
6,39
