predicted,Actual
0.9999999999999969,0.0
-1.0574211819993872e-15,
1.4767319199584668e-15,
9.833388385967032e-15,
0.9999999999999973,
-1.840694047054728e-15,0.0
0.9999999999999996,
-4.657270722002604e-16,
1.3810169682630903e-15,
-1.3541132340532218e-15,
-4.535108322220969e-16,
7.030114163805698e-16,
1.1051024680441859e-16,0.0
1.0000000000000064,
-4.461139579579465e-16,1.0
-8.1189975305769e-16,
3.5940928083653984e-16,
0.9999999999999991,0.0
0.9999999999999993,0.0
-4.58738141334839e-16,
1.0229139133749008e-17,
1.0000000000000064,0.0
3.2691678164106496e-16,
0.9999999999999969,
-2.237474553229362e-16,
1.1931533428480382e-15,
0.9999999999999976,
8.112053028789606e-16,1.0
1.0000000000000002,0.0
3.184510486244081e-17,
4.7475985706013206e-15,
-3.6102813797731943e-16,0.0
1.0000000000000002,
9.58451657783051e-16,0.0
1.500943093776235e-16,
1.1010973942225825e-15,
-7.964171554089512e-16,
-2.6382914063643912e-17,0.0
0.9999999999999998,
6.850057685545035e-16,
-2.5194806153859435e-16,
-5.326971768660677e-16,
0.9999999999999973,
3.8938154538750795e-17,
1.0000000000000004,
-3.6595919708020913e-16,1.0
-1.1407464663791029e-15,
1.006169701167128e-15,
1.7101784291441403e-15,
-2.1351442931764378e-16,
-3.0139568393679587e-16,
9.328616235838757e-15,
-1.2373777129092662e-15,
0.9999999999999998,
4.850606248139707e-16,0.0
0.9999999999999976,1.0
3.974629999041907e-16,
7.503171337190915e-16,
9.34095316231299e-16,
0.9999999999999998,
-1.0902228082265197e-15,
1.2357313310505133e-15,0.0
0.9999999999999984,0.0
-5.484842065932141e-16,1.0
4.1529076458271344e-16,
-5.740509554831384e-16,0.0
-3.574773823732582e-16,0.0
1.1914542661315856e-15,1.0
3.9305701697026833e-16,
1.0539955795847138e-15,0.0
1.630835827803212e-15,0.0
0.9999999999999993,
3.778612550799668e-16,1.0
-6.781267666568473e-16,
-1.1002107634340796e-15,0.0
0.9999999999999984,
-2.042819739397093e-17,
1.0000000000000002,
-9.879225279247243e-16,0.0
1.6737261879127005e-15,
-3.565532782715845e-16,
9.775939562704142e-17,
2.2322776632883664e-15,
-1.6941412850498952e-15,
-1.1353113621531663e-16,1.0
-1.0524198094879522e-15,0.0
2.883472936892922e-15,
-2.9255567859584746e-16,
-1.2706550187272401e-15,
6.122674607047349e-16,
-4.6068803228204794e-18,0.0
-7.389760462539732e-16,0.0
4.373329441233092e-15,
7.638788272437378e-15,
7.891272133259969e-16,
0.9999999999999978,
-7.022248183178848e-16,1.0
-7.356653911146759e-16,
1.0000000000000004,
0.9999999999999987,
1.0000000000000087,1.0
1.3687853936313783e-16,
2.9873247447548123e-16,
2.525912612566329e-15,0.0
1.3589550355420938e-15,
1.6883759584730422e-15,1.0
-1.4299808726414174e-16,
1.0000000000000062,
-2.403943543888071e-16,
-9.368698267612663e-16,0.0
-8.785347338751739e-16,
4.413827880115589e-16,
-8.410724054735323e-16,
0.9999999999999976,
2.3161081741229926e-16,
1.21649368892309e-15,
0.9999999999999984,
0.9999999999999947,
-6.385320118813435e-16,0.0
1.0000000000000058,0.0
0.9999999999999976,
-1.2015286021873518e-15,
2.1950889441666995e-15,0.0
0.9999999999999958,
-1.3297127770346663e-15,
-2.0071857434905365e-15,
7.899386211345419e-16,0.0
2.622222146985326e-15,
2.59468876108421e-16,0.0
-1.498686825181478e-16,0.0
1.8104369686630496e-15,
-5.348796930976562e-16,0.0
-5.155600444739087e-16,
8.196724953744215e-15,
-8.578183717548279e-16,0.0
-1.944757401047474e-15,
1.7111996565684187e-15,
3.834064885665422e-16,
-1.016949460366619e-15,0.0
-1.400801408057676e-15,
7.322140617146485e-16,
1.0000000000000073,
1.5290941530065522e-15,
1.2305692839711888e-16,1.0
-2.539940215054299e-17,0.0
1.0890600049001692e-15,0.0
1.0000000000000102,
1.0000000000000004,
-5.796195529771853e-16,0.0
-4.2795646951994323e-17,
6.035970650320517e-16,
1.2567779300424205e-15,
1.3454158226032304e-15,
-1.3150734048627213e-16,
2.6645983640751957e-15,
-1.2402323000402836e-15,0.0
-1.3688332254890563e-15,
6.616504087986023e-15,
0.9999999999999973,0.0
5.614489719747388e-18,0.0
-3.3416824764166323e-16,
1.0677614075911339e-16,
1.0542399439218436e-15,0.0
2.511581905365754e-15,
0.9999999999999991,
2.994930222567074e-15,0.0
0.9999999999999991,
-1.0773692536210961e-15,0.0
2.1311055561962287e-15,0.0
0.9999999999999989,
-5.632595001663097e-16,0.0
1.0000000000000002,
-4.728764747694552e-16,1.0
0.9999999999999976,0.0
-2.3995594497780776e-16,
8.946930064174787e-16,0.0
2.856216142118599e-17,
-2.0995867546926788e-15,
5.423038051169394e-16,
0.9999999999999989,
0.9999999999999987,
2.224313408622844e-15,
1.788699401985631e-16,
-1.4782222612859819e-15,
1.2836977146007776e-15,
-4.605965613089461e-16,
1.3460357044557413e-15,
1.000000000000008,
3.522580293758007e-16,
-5.173387042909766e-16,
-4.3930331879497005e-16,
2.0077852514446839e-16,0.0
0.9999999999999953,
-6.98352829606746e-16,
-5.565365566132647e-16,
-3.6066593815038026e-16,
7.759488840549467e-16,
-8.682401093010022e-16,1.0
3.0959688349490695e-15,
-8.385508239977199e-16,
-6.028856462065452e-16,0.0
-1.2164373499205721e-16,
-1.046587470088193e-15,
5.364294364600285e-16,
1.7779020682844314e-16,
2.0787947208722403e-16,
1.0614987129789674e-15,
-1.9262972943773563e-16,0.0
6.728869538180988e-15,
4.041737245701589e-16,
-1.0237171995772476e-15,
6.270299273169147e-16,
-2.1134876766281012e-15,
1.6608945465321801e-15,0.0
0.9999999999999971,
-1.2326780261804764e-16,
0.9999999999999998,
-9.641161141739848e-16,
5.862485214248239e-16,0.0
-2.812903891063052e-16,0.0
-4.64115234938357e-16,
9.213925454233155e-16,0.0
4.972626246188816e-17,
5.9116263759808444e-15,
5.872541130404792e-17,
8.198646356674375e-15,0.0
0.9999999999999978,
6.865639749092888e-16,
8.573473672500562e-16,
1.2575463408064256e-15,
4.000929021976821e-16,
1.0000000000000007,
-7.30377131984757e-16,
0.9999999999999982,
0.999999999999998,1.0
-6.897541321598576e-16,
2.064584969623263e-16,0.0
3.090676920142409e-16,
0.9999999999999973,1.0
-8.108731976568061e-16,
3.8851503293589294e-16,
2.121243647523509e-15,
3.154523779290717e-17,
-1.0462088793665675e-15,
-1.2411861442199438e-15,
-2.348674888115545e-16,
-4.120319273684714e-16,
1.3365911907976698e-16,
4.23175176265523e-16,
0.9999999999999991,0.0
0.9999999999999976,
-1.0999591884227696e-16,0.0
1.4157751785328011e-15,0.0
-1.7000216518805415e-15,0.0
1.0000000000000089,
-4.4353261562226517e-16,
1.4542377887584427e-15,
-1.9131390339781525e-16,
0.9999999999999993,
-1.6319777994931527e-16,
3.753762450848034e-16,
-6.488457362168742e-16,
1.8278322264642915e-16,
1.754327313837073e-15,
1.3931733731520948e-16,
0.9999999999999971,
0.9999999999999967,
0.9999999999999748,
0.9999999999999993,
8.62604365233208e-15,
2.557085321078141e-15,
3.5192425176814127e-15,0.0
2.2756557734617997e-15,
0.9999999999999984,
-7.216803765831289e-16,0.0
2.231660996207897e-15,0.0
7.702666379030377e-16,
0.9999999999999973,
-7.525918288890933e-16,
-4.112586355690761e-16,
-6.254799871075469e-16,
0.9999999999999951,1.0
1.0000000000000007,
4.919506130037626e-16,0.0
-5.598795647007874e-16,
2.8131107487359414e-17,1.0
-1.9727824701149142e-17,
3.3644730558258075e-16,0.0
1.338119075790463e-15,
1.0000000000000075,
7.087015005559138e-16,
-1.6812039981880909e-15,0.0
-2.417754480375734e-16,
2.1193860621423323e-15,
-5.488364789866067e-17,
0.9999999999999987,
-1.0892946483257594e-15,0.0
0.9999999999999978,
-2.1969208034791113e-15,0.0
-1.5273580390047727e-15,0.0
3.260031358285413e-15,
-1.4408871419197401e-15,
0.9999999999999956,1.0
0.9999999999999971,
-1.2739729293275465e-16,
0.9999999999999976,
2.1960909443536156e-16,
9.866943379632774e-16,0.0
1.0319172764977354e-15,
-1.2960595603094828e-15,
-1.0472802536993248e-15,
2.107296071304753e-15,
0.9999999999999996,
3.874447256373363e-16,
-1.4628237162824686e-15,
1.0000000000000013,
3.8270916548468996e-16,0.0
1.000000000000001,
